chave,lat,lon,metodo,extra
BRASILAPI 73340180,,,BrasilAPI,"Brasília,DF"
BRASILAPI 29157900,,,BrasilAPI,"Cariacica,ES"
BRASILAPI 15502325,,,BrasilAPI,"Votuporanga,SP"
BRASILAPI 48730000,,,BrasilAPI,"Conceição do Coité,BA"
BRASILAPI 88130280,,,BrasilAPI,"Palhoça,SC"
BRASILAPI 06725060,,,BrasilAPI,"Cotia,SP"
BRASILAPI 17026550,,,BrasilAPI,"Bauru,SP"
BRASILAPI 36085160,,,BrasilAPI,"Juiz de Fora,MG"
BRASILAPI 42813092,,,BrasilAPI,"Camaçari,BA"
BRASILAPI 42701330,,,BrasilAPI,"Lauro de Freitas,BA"
BRASILAPI 62674000,,,BrasilAPI,"São Gonçalo do Amarante,CE"
BRASILAPI 06350310,,,BrasilAPI_None,
BRASILAPI 68450000,,,BrasilAPI,"Moju,PA"
BRASILAPI 27715252,,,BrasilAPI_None,
BRASILAPI 42700130,,,BrasilAPI,"Lauro de Freitas,BA"
BRASILAPI 40715290,,,BrasilAPI,"Salvador,BA"
BRASILAPI 50751130,,,BrasilAPI,"Recife,PE"
BRASILAPI 65715000,,,BrasilAPI,"Lago da Pedra,MA"
BRASILAPI 13041902,,,BrasilAPI,"Campinas,SP"
BRASILAPI 45810000,,,BrasilAPI,"Porto Seguro,BA"
BRASILAPI 28890000,,,BrasilAPI_None,
BRASILAPI 65930000,,,BrasilAPI,"Açailândia,MA"
BRASILAPI 35680215,,,BrasilAPI,"Itaúna,MG"
BRASILAPI 61939210,,,BrasilAPI,"Maracanaú,CE"
BRASILAPI 88048300,,,BrasilAPI,"Florianópolis,SC"
BRASILAPI 48700000,,,BrasilAPI,"Serrinha,BA"
BRASILAPI 59255000,,,BrasilAPI,"Santo Antônio,RN"
BRASILAPI 58036880,,,BrasilAPI,"João Pessoa,PB"
BRASILAPI 88355350,,,BrasilAPI,"Brusque,SC"
BRASILAPI 48490000,,,BrasilAPI,"Inhambupe,BA"
BRASILAPI 55034250,,,BrasilAPI,"Caruaru,PE"
BRASILAPI 57490000,,,BrasilAPI,"Água Branca,AL"
BRASILAPI 88508620,,,BrasilAPI,"Lages,SC"
BRASILAPI 68701480,,,BrasilAPI,"Capanema,PA"
BRASILAPI 59650000,,,BrasilAPI,"Açu,RN"
BRASILAPI 53437810,,,BrasilAPI,"Paulista,PE"
BRASILAPI 44573520,,,BrasilAPI,"Santo Antônio de Jesus,BA"
BRASILAPI 41299235,,,BrasilAPI_None,
BRASILAPI 40301155,,,BrasilAPI,"Salvador,BA"
BRASILAPI 89256000,,,BrasilAPI,"Jaraguá do Sul,SC"
BRASILAPI 69075840,,,BrasilAPI,"Manaus,AM"
BRASILAPI 59073150,,,BrasilAPI,"Natal,RN"
BRASILAPI 04165000,,,BrasilAPI,"São Paulo,SP"
BRASILAPI 44360000,,,BrasilAPI,"São Félix,BA"
BRASILAPI 48970000,,,BrasilAPI,"Senhor do Bonfim,BA"
